127.0.0.1 - - [06/Apr/2026 17:46:46] code 501, message Unsupported method ('HEAD')
127.0.0.1 - - [06/Apr/2026 17:46:46] "HEAD / HTTP/1.1" 501 -
127.0.0.1 - - [06/Apr/2026 17:46:48] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Apr/2026 17:46:48] "GET /static/style.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Apr/2026 17:46:50] "GET /api/members HTTP/1.1" 200 -
127.0.0.1 - - [06/Apr/2026 17:46:50] "GET /avatar/weaver HTTP/1.1" 200 -
127.0.0.1 - - [06/Apr/2026 17:46:50] "GET /avatar/alpha HTTP/1.1" 200 -
127.0.0.1 - - [06/Apr/2026 17:46:51] "GET /avatar/duci HTTP/1.1" 200 -
127.0.0.1 - - [06/Apr/2026 17:46:51] "GET /avatar/aeterna HTTP/1.1" 200 -
127.0.0.1 - - [06/Apr/2026 17:46:51] "GET /avatar/gulu HTTP/1.1" 200 -
127.0.0.1 - - [06/Apr/2026 17:46:52] code 404, message Not Found
127.0.0.1 - - [06/Apr/2026 17:46:52] "GET /favicon.ico HTTP/1.1" 404 -
